('1235603336.013237', '1235603336.14752')
('1235603336.046624', '1235603336.045941')
('1235603336.079894', '1235603336.077196')
('1235603336.113264', '1235603336.116265')
('1235603336.146521', '1235603336.139706')
('1235603336.179902', '1235603336.178775')
('1235603336.21316', '1235603336.21003')
('1235603336.246586', '1235603336.249099')
('1235603336.279924', '1235603336.280354')
('1235603336.313182', '1235603336.319423')
('1235603336.346561', '1235603336.342865')
('1235603336.379825', '1235603336.381934')
('1235603336.413199', '1235603336.413189')
('1235603336.446458', '1235603336.444444')
('1235603336.47984', '1235603336.045941')
('1235603336.513101', '1235603336.514768')
('1235603336.546482', '1235603336.546024')
('1235603336.579743', '1235603336.577279')
('1235603336.613116', '1235603336.616348')
('1235603336.646401', '1235603336.647603')
('1235603336.679761', '1235603336.678858')
('1235603336.713021', '1235603336.710113')
('1235603336.746401', '1235603336.749182')
('1235603336.779788', '1235603336.780437')
('1235603336.813043', '1235603336.811692')
('1235603336.846428', '1235603336.842948')
('1235603336.87968', '1235603336.092823')
('1235603336.913067', '1235603336.913272')
('1235603336.946321', '1235603336.944527')
('1235603336.979706', '1235603336.983596')
('1235603337.012959', '1235603337.014851')
('1235603337.046345', '1235603337.046106')
('1235603337.079597', '1235603337.077362')
('1235603337.112981', '1235603337.116431')
('1235603337.146237', '1235603337.147686')
('1235603337.179622', '1235603337.178941')
('1235603337.212878', '1235603337.210196')
('1235603337.246262', '1235603337.249265')
('1235603337.279518', '1235603337.272707')
('1235603337.312904', '1235603337.311775')
('1235603337.346283', '1235603337.343031')
('1235603337.379543', '1235603337.374286')
('1235603337.412923', '1235603337.413355')
('1235603337.446184', '1235603337.452424')
('1235603337.479564', '1235603337.475865')
('1235603337.512816', '1235603337.514934')
('1235603337.546197', '1235603337.546189')
('1235603337.579457', '1235603337.577445')
('1235603337.612837', '1235603337.616513')
('1235603337.646097', '1235603337.647769')
('1235603337.679477', '1235603337.679024')
('1235603337.712736', '1235603337.710279')
('1235603337.746116', '1235603337.749348')
('1235603337.779382', '1235603337.780603')
('1235603337.81276', '1235603337.085175')
('1235603337.846142', '1235603337.843114')
('1235603337.879403', '1235603337.882183')
('1235603337.912785', '1235603337.913438')
('1235603337.946039', '1235603337.944693')
('1235603337.979424', '1235603337.975948')
('1235603338.012684', '1235603338.12441')
('1235603338.046105', '1235603338.046272')
